================ Training Loss (Fri Apr 17 17:30:01 2020) ================
(epoch: 8, iters: 400, time: 0.164, data: 0.003) G_GAN: 1.670 G_L1: 9.880 D_real: 0.143 D_fake: 0.762 
(epoch: 8, iters: 500, time: 0.233, data: 0.002) G_GAN: 0.551 G_L1: 7.338 D_real: 0.931 D_fake: 0.310 
(epoch: 9, iters: 100, time: 0.163, data: 0.179) G_GAN: 0.862 G_L1: 5.970 D_real: 0.405 D_fake: 0.844 
(epoch: 9, iters: 200, time: 0.163, data: 0.003) G_GAN: 1.400 G_L1: 6.624 D_real: 0.702 D_fake: 0.385 
(epoch: 9, iters: 300, time: 0.163, data: 0.002) G_GAN: 1.243 G_L1: 8.356 D_real: 0.340 D_fake: 0.478 
(epoch: 9, iters: 400, time: 0.232, data: 0.002) G_GAN: 0.879 G_L1: 8.230 D_real: 0.473 D_fake: 0.547 
(epoch: 9, iters: 500, time: 0.164, data: 0.002) G_GAN: 1.217 G_L1: 7.414 D_real: 0.394 D_fake: 0.798 
(epoch: 10, iters: 100, time: 0.163, data: 0.167) G_GAN: 0.911 G_L1: 6.614 D_real: 0.825 D_fake: 0.387 
(epoch: 10, iters: 200, time: 0.163, data: 0.002) G_GAN: 0.835 G_L1: 7.714 D_real: 0.808 D_fake: 0.314 
(epoch: 10, iters: 300, time: 0.235, data: 0.002) G_GAN: 1.016 G_L1: 9.356 D_real: 0.362 D_fake: 0.340 
(epoch: 10, iters: 400, time: 0.164, data: 0.002) G_GAN: 0.892 G_L1: 8.956 D_real: 0.825 D_fake: 0.292 
(epoch: 10, iters: 500, time: 0.163, data: 0.002) G_GAN: 0.787 G_L1: 5.695 D_real: 1.156 D_fake: 0.318 
(epoch: 11, iters: 100, time: 0.163, data: 0.145) G_GAN: 1.383 G_L1: 8.971 D_real: 0.447 D_fake: 0.516 
(epoch: 11, iters: 200, time: 0.245, data: 0.003) G_GAN: 1.160 G_L1: 8.873 D_real: 0.414 D_fake: 0.583 
(epoch: 11, iters: 300, time: 0.164, data: 0.002) G_GAN: 1.584 G_L1: 8.626 D_real: 0.325 D_fake: 0.718 
(epoch: 11, iters: 400, time: 0.163, data: 0.003) G_GAN: 1.106 G_L1: 8.665 D_real: 0.345 D_fake: 0.548 
(epoch: 11, iters: 500, time: 0.163, data: 0.002) G_GAN: 1.058 G_L1: 5.737 D_real: 0.591 D_fake: 0.673 
(epoch: 12, iters: 100, time: 0.244, data: 0.162) G_GAN: 1.076 G_L1: 7.756 D_real: 0.248 D_fake: 0.987 
(epoch: 12, iters: 200, time: 0.163, data: 0.002) G_GAN: 0.666 G_L1: 6.781 D_real: 0.729 D_fake: 0.361 
(epoch: 12, iters: 300, time: 0.163, data: 0.003) G_GAN: 1.461 G_L1: 9.352 D_real: 0.802 D_fake: 0.357 
(epoch: 12, iters: 400, time: 0.163, data: 0.002) G_GAN: 1.319 G_L1: 9.399 D_real: 0.456 D_fake: 0.537 
(epoch: 12, iters: 500, time: 0.241, data: 0.002) G_GAN: 1.506 G_L1: 9.841 D_real: 0.352 D_fake: 0.518 
(epoch: 13, iters: 100, time: 0.163, data: 0.148) G_GAN: 0.965 G_L1: 6.798 D_real: 0.605 D_fake: 0.501 
(epoch: 13, iters: 200, time: 0.163, data: 0.002) G_GAN: 1.039 G_L1: 9.186 D_real: 1.234 D_fake: 0.249 
(epoch: 13, iters: 300, time: 0.163, data: 0.002) G_GAN: 1.180 G_L1: 7.485 D_real: 0.667 D_fake: 0.602 
(epoch: 13, iters: 400, time: 0.242, data: 0.002) G_GAN: 1.381 G_L1: 9.983 D_real: 0.312 D_fake: 0.626 
(epoch: 13, iters: 500, time: 0.163, data: 0.002) G_GAN: 1.075 G_L1: 7.853 D_real: 0.153 D_fake: 0.731 
(epoch: 14, iters: 100, time: 0.163, data: 0.151) G_GAN: 1.135 G_L1: 8.344 D_real: 0.292 D_fake: 0.723 
